gene_id	Heart_WT_1	Heart_WT_2	Heart_WT_3	Heart_WT_4	Heart_KO_1	Heart_KO_2	Heart_KO_3	Heart_KO_4
"1415862_at"	29.63901	11.00244	4.312353	15.67908	11.32115	35.2393	30.7437	17.35773
"1415863_at"	15583.29	16954.29	15054.64	15973.44	17370.88	16514.61	16339.12	16449.5
"1415864_at"	595.9437	923.481	530.9786	526.8668	1277.608	649.5458	1784.417	712.9286
"1415865_s_at"	1247.4	1668.837	1224.461	766.6985	2607.301	1308.794	3829.127	1296.728
"1415866_at"	221.8699	219.996	249.0246	151.7565	307.4776	218.1582	260.7464	201.7046
"1415867_at"	8327.978	7886.422	7524.575	7743.048	7907.141	7388.983	7384.071	7556.014
"1415868_at"	21.51406	25.93841	5.961125	14.60971	6.763272	4.428767	7.796308	1.868086
"1415869_a_at"	1245.771	1199.068	1270.77	1245.434	1199.096	1415.991	1168.248	1206.158
"1415870_at"	9866.202	9724.813	9457.034	9200.173	9175.23	8907.854	8338.312	8958.981
"1415871_at"	517.1243	779.6899	662.6604	342.1256	395.2058	423.2081	474.9589	541.5692
"1415872_at"	5250.483	5849.464	5913.187	5386.182	6452.646	6427.379	5976.559	6026.618
"1415873_a_at"	1614.648	1374.782	1612.195	1805.166	1560.508	1519.07	1650.537	1600.696
"1415874_at"	642.786	930.0005	800.2931	728.1953	871.141	849.3984	605.2838	907.9335
"1415875_at"	95.01421	44.78615	5.676988	32.96053	58.7666	34.84716	47.7662	51.08614
"1415876_a_at"	20262.68	14854.05	17941.37	14792.34	14918.59	18136.55	18663.13	17232.83
"1415877_at"	786.626	797.0818	943.7597	1096.039	535.7059	631.4483	510.5842	493.9601
"1415878_at"	481.2376	499.3397	395.2822	525.9363	351.4209	388.7567	469.3728	452.9672
"1415879_a_at"	43469.96	43786.79	39283.41	34519.34	48054.21	43139.84	44501.36	39612.9
"1415880_a_at"	14384.91	12158.15	13362.01	13348.87	16632.41	14427.49	14652.15	14598.08
"1415881_at"	9993.984	9719.792	10089.6	9341.188	10958.97	12987.71	12073.21	11176.91
"1415882_at"	3887.059	3541.072	3520.037	3886.08	4456.071	3984.656	4174.334	4227.781
"1415883_a_at"	13.36419	27.62837	3.127326	3.184588	10.11115	22.71631	2.264167	2.407894
"1415884_at"	78.36286	189.551	99.18616	95.06568	102.2671	129.5128	111.9845	184.6188
"1415885_at"	54.6333	56.37057	53.04152	80.65156	17.02101	103.9028	4.261311	52.57737
"1415886_at"	397.7921	309.2966	456.9456	404.7299	477.7433	363.9719	395.3252	415.95
"1415887_at"	3636.947	3539.604	3947.174	3142.184	4845.116	4984.107	5088.227	3770.186
"1415888_at"	2717.686	2601.832	2662.772	2455.092	2687.031	2882.748	2728.192	2774.891
"1415889_a_at"	9229.088	10381.55	8431.554	10039.43	7244.365	7087.123	6849.293	8200.675
"1415890_at"	734.0073	877.1954	675.2717	834.7546	700.4094	745.6603	786.193	911.7002
"1415891_at"	21486.16	19939.73	18934.86	19849.66	26552.66	22298.93	24495.15	21893.61
"1415892_at"	276.1436	325.1821	320.687	316.7411	197.7995	242.6825	205.2859	263.9802
"1415893_at"	4.4171	9.323946	5.346989	11.97263	58.88568	2.091089	1.938368	19.4977
"1415894_at"	341.0901	279.7186	295.3052	379.626	250.9583	278.3398	338.9467	375.3345
"1415895_at"	3598.771	3128.356	3249.547	3190.453	6336.176	4212.972	5972.779	4979.098
"1415896_x_at"	2597.804	2322.663	2458.798	2362.269	4256.373	2617.461	2931.605	2947.96
"1415897_a_at"	5564.928	8319.306	7720.436	5853.068	7552.609	9331.412	9543.171	9365.901
"1415898_at"	3.45079	4.235833	2.052479	24.75187	26.33031	8.979547	3.134727	5.450496
"1415899_at"	173.9649	302.3336	396.2552	429.0888	495.2964	448.2908	224.6327	150.444
"1415900_a_at"	2.587066	42.38848	3.110058	19.3893	68.87932	35.69988	59.47781	33.12705
"1415901_at"	1045.946	979.4582	950.1525	1120.306	1004.408	924.2074	636.0784	1135.906
"1415902_at"	4.570808	6.890397	4.968628	3.228758	9.674762	4.581882	6.082695	5.800212
"1415903_at"	466.8083	552.6475	575.1441	680.3129	622.6058	707.6297	451.3077	527.4031
"1415904_at"	73217.3	73884.98	70472.11	56310.91	84215.02	73056.3	83230.79	69465.6
"1415905_at"	41.19855	23.22553	12.55272	24.88036	38.78348	28.3636	36.90736	18.21024
"1415906_at"	41195.72	46133.93	38867.04	35562.72	37058.78	35114.36	35438.73	38343.67
"1415907_at"	1024.512	729.2972	1099.153	1201.39	918.1665	946.117	1085.604	950.3097
"1415908_at"	2208.88	2505.726	2227.396	2702.659	2238.726	2081.281	2372.844	2704.975
"1415909_at"	1324.442	1258.293	1387.837	1158.606	1517.856	1437.673	1281.391	1400.075
"1415910_s_at"	1800.434	1496.24	1760.516	1844.295	2389.374	2346.703	2279.262	2157.422
"1415911_at"	676.9965	873.5181	762.9905	736.6553	935.0574	859.8565	1057.532	791.3897
"1415912_a_at"	12955.17	10536.34	11876.17	10663.54	13019.07	13332.01	11814.74	10225.26
"1415913_at"	2.927098	49.43774	53.8542	71.59456	29.65392	3.910389	5.031579	13.39493
"1415914_at"	6765.635	7081.006	7182.446	7313.308	7382.974	7035.725	6896.019	6655.41
"1415915_at"	3379.228	3164.713	3404.143	2955.986	3745.804	3555.523	3731.553	3468.921
"1415916_a_at"	1063.139	849.95	989.0084	1017.237	987.8257	1358.778	1474.236	1005.331
"1415917_at"	722.4766	660.3167	683.2106	542.8397	712.9418	575.5424	983.2438	729.7144
"1415918_a_at"	20082.78	18694.76	18716.81	19447.17	22306.2	21876.1	23478.34	20477
"1415919_at"	594.0822	937.6134	769.6707	684.8987	497.9128	591.4337	561.2028	790.1252
"1415920_at"	2876.139	3047.523	2793.455	3266.802	3093.105	3617.145	3343.238	3080.825
"1415921_a_at"	9.105522	11.97859	3.255765	9.378912	14.84793	56.37872	45.40851	8.611381
"1415922_s_at"	502.5169	523.1285	528.6734	608.9074	545.2973	540.7071	333.1756	354.5341
"1415923_at"	1258.021	1638.111	1413.455	1576.156	1166.174	974.1918	901.8856	1280.067
"1415924_at"	50.51479	2.000035	6.612619	3.869542	6.430465	30.11672	1.999844	2.85322
"1415925_a_at"	830.7301	602.9636	741.5302	663.5109	624.9081	853.8644	860.6899	668.4424
"1415926_at"	815.2118	741.5815	789.2484	683.1956	886.0166	759.7612	944.345	828.6951
"1415927_at"	79998.3	88502.85	74298.64	61849.01	93866.84	76351.38	91672.93	74601.72
"1415928_a_at"	6760.087	7490.958	7111.119	7417.116	7313.455	6766.467	8008.206	7688.398
"1415929_at"	5560.85	4979.776	5681.519	4909.743	5498.888	5510.458	5419.081	5277.13
"1415930_a_at"	14541.53	11780.97	10610.94	12398.54	12780.25	11460.51	10177.02	11684.7
"1415931_at"	28.86174	41.9058	84.76212	103.3869	141.0284	20.12042	51.19482	14.48239
"1415932_x_at"	1426.218	990.7313	1099.188	1140.427	1018.399	1255.95	1076.026	972.769
"1415933_a_at"	44275.1	48979.53	40317.75	43477.11	52242.69	45648.51	52612.46	48264.5
"1415934_at"	2374.239	1670.833	2581.396	1972.072	2285.964	2818.561	2796.373	2199.244
"1415935_at"	2551.139	2229.737	2075.363	3206.028	971.2993	1677.148	1619.293	2407.395
"1415936_at"	275.5237	435.9276	436.7714	450.085	428.6999	245.7346	425.8655	453.9258
"1415937_s_at"	394.5924	422.6894	515.3306	473.3743	299.1508	465.2483	366.9834	387.0876
"1415938_at"	3.90791	72.18768	21.06004	24.42129	28.90214	4.62955	28.24262	2.201149
"1415939_at"	405.012	536.6493	351.0248	278.2703	228.9705	248.0891	171.1492	391.3617
"1415940_at"	881.785	914.1874	929.4304	870.0491	975.6287	858.8828	1145.53	862.0154
"1415941_s_at"	358.7003	254.192	288.569	375.9418	166.1347	337.1269	287.8775	322.8558
"1415942_at"	27423.24	27544.53	24110.72	21051.79	25751.48	23346.35	26656.59	24779.51
"1415943_at"	231.6574	323.062	276.4635	219.1373	122.4679	188.1058	136.3884	234.8968
"1415944_at"	110.0593	181.4254	37.05711	131.8982	48.36953	52.48555	65.50051	141.8095
"1415945_at"	71.96132	82.61816	100.4011	68.06155	78.94595	86.03979	52.33572	119.7865
"1415946_at"	769.626	688.184	565.1401	725.9433	627.9531	482.1127	781.5247	659.8237
"1415947_at"	3556.498	3344.02	3668.245	3490.469	4342.252	4373.684	4913	4376.446
"1415948_at"	3966.735	4535.069	3940.326	3946.648	5454.976	4679.692	6381.265	4860.709
"1415949_at"	14187.57	17585.63	16771.57	17795.76	15259.87	13011.07	11955.99	16766.03
"1415950_a_at"	15671.35	12503.16	14169.87	13551.09	11916.62	14208.3	17217.12	10985.76
"1415951_at"	285.8424	228.4906	203.2423	276.9412	213.2204	164.2048	332.0229	437.2662
"1415952_at"	573.6704	475.2142	553.5197	360.1945	351.9142	740.3497	440.7054	650.8006
"1415953_s_at"	279.0317	294.8391	337.3031	240.0726	243.631	227.0403	256.6706	338.2095
"1415954_at"	10.4513	2.500324	1.715751	15.46176	10.47064	5.189212	1.842536	2.540506
